NoFib Results

--------------------------------------------------------------------------------
        Program         Allocs    Instrs
     InferMonad                 8271             0.0%
           Main                 5318             0.0%
         MaybeM                 1586             0.0%
         MyList                  695             0.0%
          Parse                17113             0.0%
          Shows                 3892             0.0%
          State                 2237             0.0%
         StateX                 3049             0.0%
   Substitution                10619             0.0%
           Term                25896             0.0%
           Type                20370             0.0%

integer
           Main                 9528             0.0%

integrate
           Main                 8161             0.0%

k-nucleotide
           Main                34242             0.0%

kahan
           Main                 3024             0.0%

knights
  ChessSetArray                18977             0.0%
   ChessSetList                16887             0.0%
KnightHeuristic                18292             0.0%
           Main                 7486             0.0%
          Queue                 3773             0.0%
           Sort                 6151             0.0%

lambda
           Main                46018             0.0%

last-piece
           Main                45022             0.0%

lcss
           Main                12625             0.0%

life
           Main                 9957             0.0%

lift
     LambdaLift                51198             0.0%
           Main                 3051             0.0%
          Print                20786             0.0%
           Test                 5434             0.0%
      Utilities                14903             0.0%

linear
          AbsCg                  200             0.0%
 AbsDensematrix                 1777             0.0%
      Absmatlib                  204             0.0%
             Cg                 5806             0.0%
    Densematrix                32100             0.0%
          Input                43501             0.0%
           Main                 6730             0.0%
         Matlib                26626             0.0%
         Matrix                18889             0.0%
           Misc                 2389             0.0%
          Utils                 2068             0.0%

listcompr
           Main                25793             0.0%

listcopy
           Main                26097             0.0%

maillist
           Main                12082             0.0%

mandel
           Main                 6052             0.0%
         Mandel                 6922             0.0%
 PortablePixmap                 4961             0.0%

mandel2
           Main                11872             0.0%

mate
          Board                25828             0.0%
           Main                 2710             0.0%
           Move                70017             0.0%
        Problem                 6593             0.0%
       Solution                21393             0.0%

minimax
          Board                19436             0.0%
           Game                 8999             0.0%
           Main                  463             0.0%
           Prog                 1190             0.0%
           Tree                 5903             0.0%
           Wins                 1386             0.0%

mkhprog
           Main                41243             0.0%

multiplier
           Main                53615             0.0%

n-body
           Main                10737             0.0%

nucleic2
           Main                67201             0.0%
             RA                32896             0.0%
             RC                30752             0.0%
             RG                 9160             0.0%
             RU                32264             0.0%
          Types                 4755             0.0%

para
           Main                85111             0.0%

paraffins
           Main                22699             0.0%

parser
           Main               241080             0.0%

parstof
           Main               175359             0.0%

pic
  ChargeDensity                 4216             0.0%
         Consts                  364             0.0%
      ElecField                 6003             0.0%
           Main                 1527             0.0%
            Pic                 5738             0.0%
        PicType                   77             0.0%
      Potential                 5758             0.0%
   PushParticle                13308             0.0%
          Utils                17552             0.0%

pidigits
           Main                 6718             0.0%

power
           Main                53223             0.0%

pretty
        CharSeq                 7795             0.0%
           Main                 3866             0.0%
         Pretty                19305             0.0%

primes
           Main                 3181             0.0%

primetest
         IntLib                 6864             0.0%
           Main                 2352             0.0%
       MyRandom                 2427             0.0%
          Prime                 8891             0.0%

prolog
         Engine                 6479             0.0%
       Interact                 3297             0.0%
           Main                15518             0.0%
          Parse                 6611             0.0%
     PrologData                27776             0.0%
          Subst                 6064             0.0%
        Version                  208             0.0%

puzzle
           Main                43278             0.0%

queens
           Main                 2896             0.0%

reptile
    Auxprogfuns                26034             0.0%
           Diff                  650             0.0%
       Drawfuns                10854             0.0%
       Geomfuns                15049             0.0%
           Help                14401             0.0%
     Interstate                  664             0.0%
         Layout                29417             0.0%
           Main                 2615             0.0%
        Mgrfuns                10782             0.0%
       Progfuns                48961             0.0%
         Psfuns                 8255             0.0%
       Rational                 7916             0.0%
       Tilefuns                15380             0.0%

reverse-complement
           Main                 6247             0.0%

rewrite
           Main                61400             0.0%

rfib
           Main                 1920             0.0%

rsa
           Main                 2623             0.0%
            Rsa                 7895             0.0%

scc
        Digraph                 2875             0.0%
           Main                 2319             0.0%

sched
           Main                26394             0.0%

scs
  LinearAlgebra                85308             0.0%
           Main                12553             0.0%
          Parse                95454             0.0%
       ParseLib                26936             0.0%
      RandomFix                 7334             0.0%
       Simulate                61258             0.0%
          Types                16610             0.0%

simple
           Main               277206             0.0%

solid
           Main                56357             0.0%

sorting
           Main                 4340             0.0%
           Sort                18053             0.0%

spectral-norm
           Main                 5701             0.0%

sphere
           Main                97009             0.0%

symalg
            Ast                 2685             0.0%
    BasicNumber                34948             0.0%
BasicNumberAppr                 9083             0.0%
            Env                 1028             0.0%
           Eval                15549             0.0%
          Lexer                 8976             0.0%
           Main                 5051             0.0%
             Op                 8022             0.0%
         Parser                13516             0.0%
          Print                11862             0.0%
          RealM                15202             0.0%

tak
           Main                 2745             0.0%

transform
           Main               180145             0.0%

treejoin
           Main                16178             0.0%

typecheck
           Main                47887             0.0%

veritas
     Attributes                 1626             0.0%
           Auto                 3560             0.0%
       Build_Tm                19235             0.0%
     Build_itrm                30032             0.0%
  Core_database                87069             0.0%
  Core_datatype                34861             0.0%
          Dcore                 4742             0.0%
   DerivedRules                16434             0.0%
        Display                32889             0.0%
         Editor                 6279             0.0%
          Edlib                10667             0.0%
         Getops                 5651             0.0%
        Globals                 1010             0.0%
          Goals                37046             0.0%
         Kernel                87882             0.0%
         Lookup                   76             0.0%
           Main                24858             0.0%
          Parse               131670             0.0%
      Sub_Core1                26409             0.0%
      Sub_Core2                29195             0.0%
      Sub_Core3                19212             0.0%
      Sub_Core4                39521             0.0%
      Tacticals                 8162             0.0%
        Tactics                27203             0.0%
           Tags                 6280             0.0%
     ThmTactics                72458             0.0%
          Token                21569             0.0%
           Tree                18269             0.0%
      Type_defs                 4572             0.0%
        Unparse                42404             0.0%
         Vtslib                 3158             0.0%
    X_interface                63097             0.0%

wang
           Main                26447             0.0%

wave4main
           Main                28635             0.0%

wheel-sieve1
           Main                16206             0.0%

wheel-sieve2
           Main                11478             0.0%

x2n1
           Main                 4331             0.0%

        -1 s.d.                -----            +0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            +0.0%

Compile Times

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------

CS
       EffBench                0.574            +5.6%
           Main                0.336            +2.4%

CSD
       EffBench                0.412            +2.4%
           Main                0.241            +6.2%

FS
       EffBench                0.439            +7.1%
           Main                0.337            +0.3%

S
           Main                0.394            +2.3%

VS
       EffBench                0.625            -2.6%
           Main                0.365            +9.6%

VSD
       EffBench                0.369           +14.6%
           Main                0.350           +56.0%

VSM
       EffBench                0.854            +6.9%
           Main                0.360            +2.2%

anna
       AbsConc3                0.607            +4.1%
  AbstractEval2                1.809            -1.5%
   AbstractMisc                0.735            +2.9%
          Apply                2.182            -3.5%
     BarakiMeet                3.150            +5.1%
       BaseDefs                6.452            +3.3%
   Constructors                0.876            +5.6%
    EtaAbstract                0.750            -0.5%
FrontierDATAFN2                4.791            +0.7%
FrontierGENERIC                1.261            +3.7%
  FrontierMisc2                0.643            +6.1%
        Inverse                5.078            +0.1%
    LambdaLift5                0.645            -1.7%
           Main                1.656            +4.6%
    MakeDomains                0.735            +3.0%
        Monster                0.639            +0.2%
        MyUtils                0.675            +6.1%
        Parser2                0.515            +1.9%
    PrettyPrint                0.902            -2.8%
   PrintResults                1.283            +2.4%
      ReadTable                1.202            +3.6%
       Simplify                0.729            +4.0%
 SmallerLattice                1.440            +3.3%
      StrictAn6                4.182            +3.5%
    TExpr2DExpr                1.177            +1.0%
     TypeCheck5                0.888            -2.1%
          Utils                2.168            +3.3%

ansi
           Main                0.982           +10.6%

atom
           Main                0.840            +2.9%

awards
           Main                1.173            +2.1%
          QSort                0.274            +7.7%

banner
           Main                1.508            +7.2%

bernouilli
           Main                0.828            +7.1%

binary-trees
           Main                0.956            +4.8%

boyer
           Main                2.647            +5.3%

boyer2
           Main                0.448            +6.2%
     Rewritefns                0.377            +1.1%
   Rulebasetext                0.612            +6.9%

bspt
         Euclid                2.224           -50.6%
      EuclidGMS                0.828            +9.7%
        GeomNum                0.940           -26.6%
           Init                1.108            +8.5%
          Input                1.424            +5.3%
      Interface                2.306            +1.3%
      Interpret                0.543            +5.9%
         MGRlib                0.553            +3.6%
           Main                0.232            +4.3%
         Params                0.127            +3.1%
           Prog                0.239            +5.0%
         Render                0.618            +2.9%

calendar
           Main                1.521            +2.5%

cichelli
          Auxil                0.959            +5.7%
       Interval                0.105           +15.2%
           Main                0.226            +5.8%
           Prog                0.834            +7.0%

circsim
           Main                4.104            +6.0%

clausify
           Main                1.727            +6.9%

comp_lab_zift
           Main                4.336            +3.5%

compress
         Decode                1.085            +3.2%
         Encode                0.446            -8.5%
           Main                1.168            +2.7%
        PTTrees                0.226            +5.8%
     Uncompress                0.265            +4.9%

compress2
         Encode                1.908            +5.0%
           Main                0.298            +5.7%
  WriteRoutines                0.607            +1.8%

constraints
           Main                2.188            +5.4%

cryptarithm1
           Main                0.466            +7.7%

cryptarithm2
           Main                1.441            +5.3%

cse
           Main                1.610            +6.0%
     StateMonad                0.314            +6.4%

digits-of-e1
           Main                0.549            +4.7%

digits-of-e2
           Main                0.710            -0.6%

eliza
           Main                1.890            +5.0%

event
           Main                1.540            +6.1%

exact-reals
            Era                5.446            +4.6%

exp3_8
           Main                0.635            +7.6%

expert
      Knowledge                0.730            +7.3%
           Main                0.762            +6.3%
          Match                0.407            +4.4%
         Result                0.219           +14.6%
         Search                0.630            +4.1%
          Table                1.128            +6.0%

fannkuch-redux
           Main                1.401            +9.6%

fasta
           Main                0.905            +8.4%

fem
Assemble_loadve                0.550            -----
Assemble_stiffn                1.022            +7.9%
         Basics                0.355            +1.1%
   DB_interface                0.907            +2.0%
   Displacement                0.443            +6.1%
      Elemforce                0.269            +2.2%
           Main                0.321            +5.6%
   Pre_assemble                0.475            -7.2%
    PrintSource                1.103            +3.6%
  Printuvwforce                0.479            +5.0%
     VBlldecomp                0.920            +4.2%
       VBmatrix                0.832            +4.8%
         Vector                0.688            +4.5%

fft
           Main                2.245           +10.3%

fft2
Complex_Vectors                0.413            +5.6%
        Fourier                1.292            +6.3%
           Main                0.536           +59.9%

fibheaps
           Main                2.376            +2.1%

fish
           Main                1.816            +3.6%

fluid
       C_matrix                0.365            +6.0%
     Chl_decomp                0.818            +4.4%
     Chl_method                0.961            -0.5%
      Chl_routs                2.587            +2.2%
           Defs                0.112            +6.2%
     Input_proc                0.334           +12.6%
     Jcb_method                1.390            +1.4%
       L_matrix                0.428            +2.6%
           Main                0.359            +5.3%
           Norm                0.390            +5.9%
  Rhs_Asb_routs                2.128            +6.1%
        S_Array                3.576           +22.2%
       S_matrix                1.043            +2.2%
        TG_iter                3.949            +2.4%
        Tol_cal                0.726           +10.6%

fulsom
            Csg                0.420            +4.3%
           Main                0.414            +6.8%
            Oct                0.842           +14.1%
     Patchlevel                0.118            +2.5%
           Quad                0.469           +13.0%
         Raster                0.613            +5.1%
          Types                1.344            +4.8%
         Vector                0.395            +1.8%

gamteb
       Distance                0.683            +6.3%
     GamtebMain                0.284           +11.3%
     GamtebType                0.145            +6.9%
           Main                0.374            +4.0%
      PhotoElec                0.341            +4.7%
      RoulSplit                0.446            +1.3%
      TransPort                1.128            +0.4%
          Utils                0.758            +7.8%

gcd
           Main                0.592            +5.4%

gen_regexps
           Main                0.814            +6.0%

genfft
           Main                1.977            +3.0%

gg
           GRIP                1.889            +5.5%
          Graph                2.744            +6.4%
           Main                1.263            +5.3%
          PSlib                0.661            +2.6%
          Parse                1.199            +6.2%
           Pool                0.789            +3.5%

grep
        Parsers                0.516            +2.1%
    StringMatch                1.938            +3.1%

hidden
      Comparing                0.689            +4.4%
          Cross                0.390            +3.3%
      Geometric                0.542           -28.8%
           Hide                0.609            +5.1%
           Main                0.364            +6.3%
           Memo                1.922            +3.2%
           MyIO                0.135            +8.1%
        Numbers                0.599            +5.2%
     Postscript                0.302           +78.8%
          Preds                0.431            -0.9%
         Rotate                0.399            +0.3%
        Vectors                0.881            +3.6%

hpg
         Config                0.330            +6.4%
            Env                1.044            +2.9%
         GenExp                1.216           +10.3%
        GenType                0.603            +2.5%
           Main                1.597            +1.3%
          Types                2.350            +4.4%
          Utils                0.368            +6.8%

ida
           Main                2.470            +4.9%

infer
          Infer                0.492           +16.9%
     InferMonad                0.681           +23.3%
           Main                0.512           +13.9%
         MaybeM                0.445            +4.0%
          Parse                0.269            -----
          State                0.573            +5.2%
         StateX                0.194            +3.1%
   Substitution                0.602           +15.9%
           Term                1.138            +3.9%

integer
           Main                0.843            +6.2%

integrate
           Main                0.715            +6.2%

k-nucleotide
           Main                3.387            +4.0%

kahan
           Main                0.747            +5.0%

knights
   ChessSetList                1.460            +4.7%
KnightHeuristic                1.524            +0.9%
           Main                0.946            +1.9%
          Queue                0.369            +4.1%

lambda
           Main                2.701            +4.7%

last-piece
           Main                2.963            +4.6%

lcss
           Main                0.914            +3.6%

life
           Main                0.911            +5.0%

lift
     LambdaLift                2.337            +5.4%
           Main                0.382           +10.2%
          Print                0.391            +4.1%
      Utilities                0.830            +7.1%

linear
          AbsCg                0.120            +5.8%
 AbsDensematrix                0.191            +4.7%
      Absmatlib                0.121            -0.8%
    Densematrix                1.966            +7.0%
           Main                0.583            +2.4%
         Matlib                0.478            +2.5%
         Matrix                1.249            +6.1%
           Misc                0.280            +8.2%

listcompr
           Main                1.786            +3.2%

listcopy
           Main                1.802            +3.6%

maillist
           Main                1.029           +39.1%

mandel
           Main                0.521            +7.1%
         Mandel                0.502            +5.2%
 PortablePixmap                0.313            +6.4%

mandel2
           Main                1.022            +6.0%

mate
          Board                1.318            +4.8%
           Main                0.421            +3.6%
        Problem                0.621            +8.5%
       Solution                1.293            +4.7%

minimax
          Board                0.428            +5.8%
           Game                0.559            +2.3%
           Main                0.217            +4.1%
           Prog                0.228            +8.3%
           Tree                0.238            +7.6%

mkhprog
           Main                2.132            +3.7%

multiplier
           Main                3.050            +4.1%

n-body
           Main                1.315            +3.1%

nucleic2
           Main                2.941            +8.3%
             RA                0.941            +5.2%
          Types                0.226            +9.7%

para
           Main                4.540            +4.0%

paraffins
           Main                1.698            +4.1%

parser
           Main               11.072            +4.8%

parstof
           Main               10.505            +4.4%

pic
         Consts                0.122            -1.6%
           Main                0.381            +7.6%
            Pic                0.492            +5.9%
        PicType                0.121            +3.3%
      Potential                0.504            -----
          Utils                2.251            +4.2%

pidigits
           Main                0.712            +7.0%

power
           Main                2.204            +4.7%

pretty
        CharSeq                0.397            +3.3%
           Main                0.408            +2.5%
         Pretty                1.022            +7.1%

primes
           Main                0.475            -1.1%

primetest
           Main                0.413            +4.4%
       MyRandom                0.314            +9.2%
          Prime                0.609            +7.1%

prolog
         Engine                0.388            +7.0%
           Main                1.069            +6.0%
     PrologData                1.432            +5.9%
          Subst                0.463            +2.2%
        Version                0.113           +10.6%

puzzle
           Main                2.153            +5.6%

queens
           Main                0.471            +3.8%

reptile
       Drawfuns                0.614            +5.2%
       Geomfuns                0.741            +1.8%
     Interstate                0.163             0.0%
           Main                0.340            +8.2%
        Mgrfuns                0.546            +2.7%
       Progfuns                2.653            +9.3%
         Psfuns                0.573            +2.4%
       Tilefuns                0.587            -8.2%

reverse-complement
           Main                1.090           +25.5%

rewrite
           Main                3.743            +6.8%

rfib
           Main                0.394            +6.9%

rsa
           Main                0.322            +2.5%
            Rsa                0.630            +4.4%

scc
        Digraph                0.367            +5.4%
           Main                0.363            +9.9%

sched
           Main                2.007            +5.7%

scs
  LinearAlgebra                1.254            +6.5%
           Main                0.892            +5.7%
          Parse                2.977            +5.6%
       ParseLib                0.611            +5.4%
       Simulate                3.850            +4.2%

simple
           Main               18.204            +4.3%

solid
           Main                3.988            +6.1%

sorting
           Main                0.460            +4.8%
           Sort                1.016            +3.7%

spectral-norm
           Main                0.932            +4.6%

sphere
           Main                4.601            +2.9%

symalg
    BasicNumber                1.733            +5.2%
BasicNumberAppr                0.171           +11.7%
           Eval                0.987            +3.6%
           Main                0.479            +4.0%
             Op                0.486            +1.4%
         Parser                0.262            +3.4%
          Print                0.680            +5.4%

tak
           Main                0.411           +46.0%

transform
           Main                8.644            +4.4%

treejoin
           Main                0.955            +5.5%

typecheck
           Main                2.748            +5.2%

veritas
       Build_Tm                1.043            +4.1%
  Core_database                3.724            +2.4%
  Core_datatype                1.335            +5.0%
          Dcore                0.486            +0.4%
   DerivedRules                0.366            +6.3%
         Editor                0.530            +2.6%
          Edlib                0.827            +5.0%
         Getops                1.037            +2.7%
        Globals                0.194            +1.5%
          Goals                1.017            +2.8%
         Kernel                3.677            +5.5%
         Lookup                0.143            +4.9%
           Main                1.413            +6.5%
          Parse                1.100            +2.9%
      Sub_Core2                1.251            +2.9%
      Sub_Core3                1.018            +3.0%
      Sub_Core4                1.635            +2.6%
      Tacticals                0.329            +1.5%
     ThmTactics                3.509            +1.9%
           Tree                1.756            +6.4%
      Type_defs                0.410            +8.3%
         Vtslib                0.290            +1.0%

wang
           Main                1.795            +4.6%

wave4main
           Main                2.361            +4.6%

wheel-sieve1
           Main                0.877            +3.8%

wheel-sieve2
           Main                0.827            +5.7%

x2n1
           Main                0.712            +7.0%

        -1 s.d.                -----            -3.1%
        +1 s.d.                -----           +13.7%
        Average                -----            +5.0%

Compile Allocations

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------

CS
       EffBench            444080208            +0.0%
           Main            239930248            +0.0%

CSD
       EffBench            297717256            +0.0%
           Main            185671520            +0.0%

FS
       EffBench            332274184            +0.0%
           Main            232209872            +0.0%

S
           Main            286366584            +0.0%

VS
       EffBench            469378768            +0.0%
           Main            264696256            +0.0%

VSD
       EffBench            264681584            +0.0%
           Main            260105376            +0.0%

VSM
       EffBench            670185208            +0.0%
           Main            258686616            +0.0%

anna
       AbsConc3            401929448            +0.0%
  AbstractEval2           1164092472            +0.0%
   AbstractMisc            502162136            +0.0%
          Apply           1314240872            +0.0%
     BarakiMeet           2114906056            +0.0%
       BaseDefs           4674565200            +0.0%
   Constructors            593188600            +0.0%
    EtaAbstract            485278800            +0.0%
FrontierDATAFN2           2977454032            +0.0%
FrontierGENERIC            854680008            +0.0%
  FrontierMisc2            414685096            +0.0%
        Inverse           3276961400            +0.0%
    LambdaLift5            400516656            +0.0%
           Main           1330124328            +0.0%
    MakeDomains            484364280            +0.0%
        Monster            417064192            +0.0%
        MyUtils            534756792            +0.0%
        Parser2            324044336            +0.0%
    PrettyPrint            553238816            +0.0%
   PrintResults            860543576            +0.0%
      ReadTable            816192280            +0.0%
       Simplify            492664736            +0.0%
 SmallerLattice            926080680            +0.0%
      StrictAn6           3139678768            +0.0%
    TExpr2DExpr            747827536            +0.0%
     TypeCheck5            559599552            +0.0%
          Utils           1665023808            +0.0%

ansi
           Main            752249272            +0.0%

atom
           Main            602499760            +0.0%

awards
           Main            848344488            +0.0%
          QSort            215309320            +0.0%

banner
           Main           1190981832            +0.0%

bernouilli
           Main            599964104            +0.0%

binary-trees
           Main            718568496            +0.0%

boyer
           Main           2021183552            +0.0%

boyer2
           Main            342655968            +0.0%
     Rewritefns            261060296            +0.0%
   Rulebasetext            454545296            +0.0%

bspt
         Euclid           1677190992           -57.8%
      EuclidGMS            634930600            +0.0%
        GeomNum            708427672           -36.9%
           Init            737151696            +0.0%
          Input           1031993936            +0.0%
      Interface           1660862088            +0.0%
      Interpret            381491488            +0.0%
         MGRlib            348155736            +0.0%
           Main            171659656            +0.0%
         Params             74481128            +0.2%
           Prog            183664352            +0.0%
         Render            414607616            +0.0%

calendar
           Main           1114537120            +0.0%

cichelli
          Auxil            739990696            +0.0%
       Interval             71532656            +0.1%
           Main            163854976            +0.1%
           Prog            631394544            +0.0%

circsim
           Main           3163054720            +0.0%

clausify
           Main           1339214344            +0.0%

comp_lab_zift
           Main           3362440832            +0.0%

compress
         Decode            810845016            +0.0%
         Encode            249670048            +0.0%
           Main            801112056            +0.0%
        PTTrees            138282952            +0.0%
     Uncompress            188663872            +0.1%

compress2
         Encode           1570797168            +0.0%
           Main            208163040            +0.1%
  WriteRoutines            451030136            +0.0%

constraints
           Main           1680771656            +0.0%

cryptarithm1
           Main            363492336            +0.0%

cryptarithm2
           Main           1132371568            +0.0%

cse
           Main           1214364816            +0.0%
     StateMonad            236578792            +0.0%

digits-of-e1
           Main            413019368            +0.0%

digits-of-e2
           Main            524291928            +0.0%

eliza
           Main           1493254168            +0.0%

event
           Main           1235117584            +0.0%

exact-reals
            Era           3959554440            +0.0%

exp3_8
           Main            478376856            +0.0%

expert
      Knowledge            566436544            +0.0%
           Main            562791376            +0.0%
          Match            278876496            +0.0%
         Result            162108728            +0.0%
         Search            483882088            +0.0%
          Table            905585696            +0.0%

fannkuch-redux
           Main           1053815568            +0.0%

fasta
           Main            693144568            +0.0%

fem
Assemble_loadve            366273104            -----
Assemble_stiffn            654023752            +0.0%
         Basics            250773808            +0.0%
   DB_interface            631841248            +0.0%
   Displacement            327829520            +0.0%
      Elemforce            198491400            +0.0%
           Main            225043368            +0.0%
   Pre_assemble            319349864           -16.6%
    PrintSource            740371136            +0.0%
  Printuvwforce            364810736            +0.0%
     VBlldecomp            646928832            +0.0%
       VBmatrix            576058944            +0.0%
         Vector            479607480            +0.0%

fft
           Main           1668219688            +0.0%

fft2
Complex_Vectors            302302512            +0.0%
        Fourier            962176960            +0.0%
           Main            403801232            +0.0%

fibheaps
           Main           1750089224            +0.0%

fish
           Main           1379459440            +0.0%

fluid
       C_matrix            240951400            +0.0%
     Chl_decomp            541180312            +0.0%
     Chl_method            609547848            +0.0%
      Chl_routs           1583857728            +0.0%
           Defs             79991256            +0.1%
     Input_proc            212307992            +0.0%
     Jcb_method            880659848            +0.0%
       L_matrix            261906912            +0.0%
           Main            262500136            +0.0%
           Norm            298761896            +0.0%
  Rhs_Asb_routs           1406437048            +0.0%
        S_Array           2714122456            +0.0%
       S_matrix            681572656            +0.0%
        TG_iter           2691939448            +0.0%
        Tol_cal            467060112            +0.0%

fulsom
            Csg            298396152            +0.0%
           Main            319849904            +0.0%
            Oct            620292344            +0.0%
     Patchlevel             82358920            +0.1%
           Quad            360822424            +0.0%
         Raster            476547848            +0.0%
          Types           1035699960            +0.0%
         Vector            249287632            +0.0%

gamteb
       Distance            486044056            +0.0%
     GamtebMain            215579816            +0.0%
     GamtebType            104814240            +0.1%
           Main            270406816            +0.0%
      PhotoElec            221486648            +0.0%
      RoulSplit            276404544            +0.0%
      TransPort            745561856            +0.0%
          Utils            573415880            +0.0%

gcd
           Main            444658816            +0.0%

gen_regexps
           Main            588239856            +0.0%

genfft
           Main           1514255000            +0.0%

gg
           GRIP           1420020024            +0.0%
          Graph           2144153288            +0.0%
           Main            959278128            +0.0%
          PSlib            481973352            +0.0%
          Parse            876204104            +0.0%
           Pool            534913960            +0.0%

grep
        Parsers            396763144            +0.0%
    StringMatch           1437405080            +0.0%

hidden
      Comparing            523825936            +0.0%
          Cross            276277320            +0.0%
      Geometric            342206832           -29.5%
           Hide            457679008            +0.0%
           Main            254474808            +0.0%
           Memo           1379546368            +0.0%
           MyIO             87378080            +0.1%
        Numbers            450756424            +0.0%
     Postscript            193427688           +77.0%
          Preds            288559296            +0.0%
         Rotate            248375024            +0.0%
        Vectors            661520888            +0.0%

hpg
         Config            260168488            +0.0%
            Env            800759944            +0.0%
         GenExp            956736504            +0.0%
        GenType            429541216            +0.0%
           Main           1232908600            +0.0%
          Types           1822616048            +0.0%
          Utils            280456288            +0.1%

ida
           Main           1932157128            +0.0%

infer
          Infer            371715464            +0.0%
     InferMonad            483490680            +0.0%
           Main            394413624            +0.0%
         MaybeM            266693104            +0.0%
          Parse            174730024            -----
          State            370613040            +0.0%
         StateX            122435560            +0.1%
   Substitution            433363640            +0.0%
           Term            814801400            +0.0%

integer
           Main            589022400            +0.0%

integrate
           Main            550334296            +0.0%

k-nucleotide
           Main           2501878504            -0.0%

kahan
           Main            527876328            +0.0%

knights
   ChessSetList           1031009448            +0.0%
KnightHeuristic           1070837800            +0.0%
           Main            703211992            +0.0%
          Queue            257784840            +0.0%

lambda
           Main           2104568928            +0.0%

last-piece
           Main           2163632136            +0.0%

lcss
           Main            680524656            +0.0%

life
           Main            723076752            +0.0%

lift
     LambdaLift           1777341888            +0.0%
           Main            287508280            +0.0%
          Print            273478840            +0.0%
      Utilities            672506168            +0.0%

linear
          AbsCg             78304944            +0.1%
 AbsDensematrix            135502896            +0.1%
      Absmatlib             77575008            +0.1%
    Densematrix           1454189864            +0.0%
           Main            449299656            +0.0%
         Matlib            306079056            +0.0%
         Matrix            927005088            +0.0%
           Misc            195469928            +0.0%

listcompr
           Main           1386404296            +0.0%

listcopy
           Main           1398909440            +0.0%

maillist
           Main            757303080            +0.0%

mandel
           Main            405999736            +0.0%
         Mandel            372826640            +0.0%
 PortablePixmap            233541424            +0.0%

mandel2
           Main            765663456            +0.0%

mate
          Board           1013684120            +0.0%
           Main            308270496            +0.0%
        Problem            459392776            +0.0%
       Solution            991015160            +0.0%

minimax
          Board            306144688            +0.0%
           Game            418978528            +0.0%
           Main            162370888            +0.1%
           Prog            166832696            +0.0%
           Tree            160004608            +0.0%

mkhprog
           Main           1635326184            +0.0%

multiplier
           Main           2300147936            +0.0%

n-body
           Main           1000601200            +0.0%

nucleic2
           Main           2359732360            +0.0%
             RA            683540944            +0.0%
          Types            177434592            +0.0%

para
           Main           3393054808            -0.0%

paraffins
           Main           1309453664            +0.0%

parser
           Main           8233066040            +0.0%

parstof
           Main           7638283904            +0.0%

pic
         Consts             80834328            +0.1%
           Main            283045008            +0.0%
            Pic            370598392            +0.0%
        PicType             89670208            +0.1%
      Potential            316241440            -----
          Utils           1850543560            -0.0%

pidigits
           Main            566709496            +0.0%

power
           Main           1693995152            +0.0%

pretty
        CharSeq            307588376            +0.0%
           Main            295434808            +0.0%
         Pretty            767824352            +0.0%

primes
           Main            328454480            +0.0%

primetest
           Main            299928264            +0.0%
       MyRandom            217166664            +0.0%
          Prime            462786784            +0.0%

prolog
         Engine            271899536            +0.0%
           Main            821398696            +0.0%
     PrologData           1064133664            +0.0%
          Subst            338269480            +0.0%
        Version             72020448            +0.1%

puzzle
           Main           1676870008            +0.0%

queens
           Main            348021888            +0.0%

reptile
       Drawfuns            463519232            +0.0%
       Geomfuns            530876880            +0.0%
     Interstate            103903936            +0.1%
           Main            244388936            +0.0%
        Mgrfuns            359607672            +0.0%
       Progfuns           1955120216            +0.0%
         Psfuns            417487920            +0.0%
